ingredient,source_medicine_count,source_composition_count,source_evidence,sample_source_medicines,risk_flags,relation_status,review_status
tazobactum,10,5,Bacterial infections,Magnova 1000 mg/125 mg Injection | Montaz 1g Injection | Montaz 250mg Injection | Montaz 500mg Injection | Piptaz 4.5gm Injection,antibiotic_or_antimicrobial | injection_or_parenteral,composition_level_evidence_only,review_required
tetanus toxoid,10,7,Prevention of Tetanus | Prevention of DiphtheriaPrevention of TetanusPrevention of Pertussis Prevention of Hepatitis B infectionPrevention of Haemophilus influenzae Type b disease | Diphtheria Haemophilus influenzae Type b disease Pertussis Tetanus Polio | Tetanus Diphtheria | Tetanus Diphtheria Pertussis,Bett Vaccine | Bett Vaccine (Each 0.5ml) | Boostrix Vaccine | Easyfive-TT Vaccine | Hexaxim Vaccine,,composition_level_evidence_only,review_required
trifluoperazine,10,6,Schizophrenia | Irritable bowel syndrome | Treatment of Schizophrenia Short term anxiety,Neocalm Plus Tablet | Parkin-Plus Tablet | Stelbid 2 Tablet | Stelbid Tablet | Talecalm 5mg Tablet,chronic_or_specialist_condition,composition_level_evidence_only,review_required
trioxasalen,10,3,Vitiligo Psoriasis,Dermtone 25mg Tablet | Neosoralen 5mg Tablet | Neosoralen Forte 25mg Tablet | Neosoralen Lotion | Psoratop 25mg Tablet,,composition_level_evidence_only,review_required
ammonium chloride,9,9,Cough | Treatment of Cough,Benadryl Syrup | Biochemdryl Syrup | Gulfadryl Syrup | Lupihist  Syrup | Piriton Expectorant,,composition_level_evidence_only,review_required
bimatoprost,9,4,Ocular hypertension Glaucoma | Treatment of GlaucomaTreatment of Ocular hypertension,Bimat Eye Drop | Bimat LS Eye Drop | Bimat LS TM Eye Drop | Bimat-T Eye Drops | Ganfort  Eye Drop,chronic_or_specialist_condition,composition_level_evidence_only,review_required
calcitriol,9,7,Nutritional deficiencies | Osteoporosis | Psoriasis | Treatment of Calcium deficiency | Treatment of Calcium deficiencyTreatment of Metabolic Bone disease | Treatment of Psoriasis,Aeocal Max Softgel Capsule | Gemcal -Kit | Gemitrol Kit | Laretol Capsule | Mibcal Soft Gelatin Capsule,,composition_level_evidence_only,review_required
camphor,9,7,Treatment of Allergic eye disease | Allergic skin conditions,Andre I-Kul Eye Drop | Histo Calamine Lotion | Life OK  Eye Drop | Neph-M Plus Eye Drop | Opticool Eye Drop,,composition_level_evidence_only,review_required
dicloxacillin,9,6,Treatment of Bacterial infections | Bacterial infections,Ampilox DS Tablet | Ampilox-LB Capsule | Asert D Tablet ER | Broadiclox Novo 500 mg Capsule | Gudcef -XL 200 New Tablet ER,antibiotic_or_antimicrobial,composition_level_evidence_only,review_required
dimenhydrinate,9,3,Treatment of Vertigo | Treatment of Allergic conditions Motion sickness | Vertigo,Diziron D Tablet MD | Draminate 50mg Tablet | Gemvert Tablet | Gravol Tablet | Stugeron Plus Tablet,,composition_level_evidence_only,review_required
doxofylline,9,4,Chronic obstructive pulmonary disease (COPD) | Treatment and prevention of Asthma | Treatment and prevention of Chronic obstructive pulmonary disease (COPD),Doxiflo-M Tablet SR | Doxolin AX Tablet | Doxoril 650 Tablet SR | Spirodin 650 Tablet MR | Spirodin-AX Tablet,,composition_level_evidence_only,review_required
epalrestat,9,5,Diabetic nerve pain,Aldonil OD Tablet | Aldonil Plus Tablet SR | Aldonil Tablet | Alrista Forte Tablet | Alrista Plus Tablet SR,,composition_level_evidence_only,review_required
heparin,9,7,Prevention of Blood clots | Burns Stretch Marks | Treatment of Thrombophlebitis | Burns,Hep 25 Injection | Hep Lock Solution | Hexilak Gel | Phlebosol QPS Solution | Phlebotroy QPS Topical Solution,injection_or_parenteral,composition_level_evidence_only,review_required
insulin aspart,9,6,Diabetes | Treatment of Diabetes,Fiasp 100IU/ml Solution for Injection | Novomix 30 100IU/ml Penfill | Novomix 30 Flexpen 100IU/ml | Novomix 50 100IU/ml Penfill | Novomix 50 Suspension for Injection 100IU/ml,chronic_or_specialist_condition | injection_or_parenteral,composition_level_evidence_only,review_required
insulin isophane,9,3,Diabetes,Human Insulatard 40IU/ml Suspension for Injection | Huminsulin N 100IU/ml Cartridge | Huminsulin N 40IU/ml Injection | Insugen-N 100IU/ml Injection | Insugen-N 100IU/ml Refil Injection,chronic_or_specialist_condition | injection_or_parenteral,composition_level_evidence_only,review_required
latanoprost,9,2,Glaucoma Ocular hypertension | Treatment of GlaucomaTreatment of Ocular hypertension,Lacoma T  Eye Drop | Latina RT Eye Drop | Latobest Eye Drop | Latocom   Eye Drops | Latocom CF Eye Drop,chronic_or_specialist_condition,composition_level_evidence_only,review_required
leuprolide,9,4,Treatment of Prostate cancerTreatment of EndometriosisTreatment of Uterine fibroidsTreatment of Precocious puberty (premature puberty),Eurolide 3.75mg Depot Injection | Leuprolide 3.75mg Depot One Combipack | Lugonist Depot 3.75mg Injection | Lupride 4mg Injection | Lupride Depot 11.25mg Injection,chronic_or_specialist_condition | injection_or_parenteral,composition_level_evidence_only,review_required
levocloperastine,9,1,Treatment of Dry cough,Alex-L Cough Syrup Mango | Alex-L Cough Syrup Mango Sugar Free | Grilinctus-L Oral Suspension | Lupituss Oral Suspension | Lupituss SF Suspension,,composition_level_evidence_only,review_required
loratadine,9,3,Treatment of Allergic conditions | Cough | Cough with mucus,Alaspan AM Tablet | Alastin 10mg Tablet | Alastin AM Tablet | Alorti Tablet | Loratin 10mg Tablet,,composition_level_evidence_only,review_required
tolvaptan,9,2,Treatment of Low levels of sodium in the blood,Hyponat-O 15 Tablet | Natrise 30 Tablet | Natrise Tablet | Resodim 15 Tablet | Tolsama 15 Tablet,,composition_level_evidence_only,review_required
tricholine citrate,9,8,Appetite stimulant | Fatty liver disease | Appetite stimulantTreatment of Allergic skin conditions,Aptimust Syrup | Biopron Syrup | Mariliv Drop | Mariliv Oral Suspension | Normatone Syrup,,composition_level_evidence_only,review_required
vitamin e,9,6,Melasma | Nutritional deficiencies | Treatment of Muscle cramps | Treatment of Nutritional deficiencies | Treatment of Vitamin E deficiency,Anthocyn-TX Cream | Evion LC Tablet | Evopin 400 Capsule | Kojiplus-TX Cream | Melano-TX Cream,,composition_level_evidence_only,review_required
boric acid,8,6,Treatment of Allergic eye disease | Treatment of Dry eyes | Treatment of Bacterial eye / ear infections | Treatment of Bacterial eye infections,Aquanac Eye Drop | Brite Eye Drop | Eyecon Eye Drop | Neph-M Eye Drop | Optihist Eye Drop,,composition_level_evidence_only,review_required
camylofin,8,8,Abdominal cramp | Treatment of Abdominal pain | Treatment of Abdominal cramp,Anafortan 25 mg/300 mg Tablet | Anafortan Drop | Anafortan Injection | Anafortan N 100 mg/50 mg Tablet | Anafortan Syrup,injection_or_parenteral,composition_level_evidence_only,review_required
dehydroepiandrosterone,8,7,Female infertility | Treatment of Female infertility,Evaserve Tablet | Newbona Fem Tablet | Ovafem Plus Tablet | Ovalink Tablet SR | Ovanac-DSR Tablet,,composition_level_evidence_only,review_required
dosulepin,8,4,"Treatment of Anxiety disorderTreatment of $name is thought to work by affecting the balance of certain chemicals (such as serotonin) in the brain. It helps improve mood and feelings of wellbeing, relieves anxiety and tension, helps you sleep better, and increases your energy level. It is used to treat depression that is unresponsive to other medicines. You need to take it regularly as it is prescribed for it to be most effective and should not stop taking it suddenly. Depression | Neuropathic pain",DO RE ME 25mg Tablet | DO RE ME 50mg Tablet | DO RE ME 75mg Tablet | Osule 25mg Tablet | Prothiaden 50 Tablet,,composition_level_evidence_only,review_required
etofylline,8,6,Treatment of Chronic obstructive pulmonary disease (COPD) | Treatment of Asthma,Albutamol Neo Syrup | Dericip 77mg/23mg Tablet | Dericip Retard 150 Tablet PR | Dericip Retard 300  Tablet PR | Deriphyllin Injection,injection_or_parenteral,composition_level_evidence_only,review_required
gatifloxacin,8,4,Treatment of Bacterial eye infections | Treatment of Post-operative eye pain and inflammation,Gate DM BAK Free Eye Drop | Gatilox DM Sterile Eye Drops | Gatilox Plus  Eye Drop | Gatiquin-P Eye Drop | Gflotas D Eye Drop,,composition_level_evidence_only,review_required
glipizide,8,5,Treatment of Type 2 diabetes mellitus,Glez 2.5mg Tablet | Glimet DS Tablet | Glimet Tablet | Glynase Tablet | Glynase XL 10 Tablet,chronic_or_specialist_condition,composition_level_evidence_only,review_required
hepatitis b vaccine,8,6,Prevention of Hepatitis B infection | Prevention of DiphtheriaPrevention of TetanusPrevention of Pertussis Prevention of Hepatitis B infectionPrevention of Haemophilus influenzae Type b disease | Prevention of Hepatitis A infection Prevention of Hepatitis B infection,Bevac Adult Vaccine | Easyfive-TT Vaccine | GeneVac-B Adult Vaccine | GeneVac-B Paediatric Injection | Pentavac PFS Vaccine,injection_or_parenteral,composition_level_evidence_only,review_required
hydroxyprogesterone,8,3,Prevention of Premature Labor,Anin 500mg Injection | Maintane 250 Injection | Maintane 500 Injection | NT-Natal 250mg Injection | Pro 9 500mg Injection,injection_or_parenteral,composition_level_evidence_only,review_required
ibandronic acid,8,3,Treatment and prevention of postmenopausal Osteoporosis | Osteoporosis,Bandrone 150 Tablet | Flurish Tablet | Gemidro Tablet | Iban Plus Tablet | Idrofos 150 Tablet,,composition_level_evidence_only,review_required
insulin lispro protamine,8,2,Diabetes,Eglucent Mix 25 100IU/ml Suspension for Injection | Eglucent Mix 25 Kwikpen 100IU/ml | Eglucent Mix 50 100IU/ml Suspension for Injection | Eglucent Mix 50 Kwikpen 100IU/ml | Humalog Mix 25 100IU/ml Cartridge,chronic_or_specialist_condition | injection_or_parenteral,composition_level_evidence_only,review_required
ipratropium,8,7,Treatment of Chronic obstructive pulmonary disease (COPD),Ipravent Respirator Solution | Ipravent Respules 2ml | Ipravent Rotacaps | Nebzmart IL Smartules | Salbair I Neb 0.63mg Transpules 2.5ml,,composition_level_evidence_only,review_required
isosorbide dinitrate,8,3,Treatment of Heart failure | Prevention of Angina (heart-related chest pain) | Prevention of Angina (heart-related chest pain)Controlling Heart failure,Apresol Plus Tablet | Isolazine Tablet | Isordil 10 Tablet | Isordil 5 Sublingual tablet | Isorus Tablet,chronic_or_specialist_condition,composition_level_evidence_only,review_required
l-methyl folate calcium,8,5,Polycystic ovarian syndrome (PCOS) | Nausea and vomiting in pregnancy | Neuropathic pain | Nutritional deficiencies,All 9 NVP Tablet | Met-Innovfol Tablet | Met-Pco Care Tablet | Nevirin Tablet | Optimoz-Plus Tablet,,composition_level_evidence_only,review_required
leflunomide,8,2,Rheumatoid arthritis Psoriatic arthritis,Lefno 10 Tablet | Lefno 20 Tablet | Lefra 10 Tablet | Lefra 20 Tablet | Lefuma  20mg Tablet,,composition_level_evidence_only,review_required
lornoxicam,8,4,Pain relief,Flexilor 8 Tablet | Lofecam 8 Tablet | Lornoxi P Tablet | Lorox P Tablet | Lorsaid OD Tablet ER,,composition_level_evidence_only,review_required
magnesium valproate,8,5,Epilepsy/SeizuresPrevention of Migraine Bipolar disorder,Macorate CR 300 Tablet | Macorate CR 400 Tablet | Macorate CR 500 Tablet | Macorate CR 600 Tablet | Magprol CR 200 Tablet,chronic_or_specialist_condition,composition_level_evidence_only,review_required
metadoxine,8,5,Treatment of Liver  disease | Alcoholic fatty liver disease | Liver disease,Alcoliv Tablet | Leepure Tablet | Liviz Tablet | Livodox Plus Tablet | Livopill -DS Tablet,,composition_level_evidence_only,review_required
oxaceprol,8,2,Osteoarthritis Rheumatoid arthritis,Kneox Tablet | Lupoxa Capsule | Lupoxa OD Tablet SR | Oxafine Capsule | Oxuba Capsule,,composition_level_evidence_only,review_required
pirfenidone,8,3,Treatment of Idiopathic pulmonary fibrosis,Fiboresp Tablet | Fibrodone Tablet | Pirfemac 400 Tablet | Pirfenex 400mg Tablet | Pirfenex 600mg Tablet,,composition_level_evidence_only,review_required
prazosin,8,3,Treatment of Hypertension (high blood pressure)Treatment of Heart failureTreatment of Benign prostatic hyperplasia,Minipress XL 2.5mg Tablet | Minipress XL 5mg Tablet | Prazopill XL 2.5 Tablet | Prazopill XL 5 Tablet | Prazopress 1 Tablet,chronic_or_specialist_condition,composition_level_evidence_only,review_required
remogliflozin etabonate,8,3,Treatment of Type 2 diabetes mellitus,Remo M 100mg/1000mg Tablet | Remo Zen M 100mg/1000mg Tablet | Remo-M 500 Tablet | Remo-Zen 100mg Tablet | Remo-Zen M 500 Tablet,chronic_or_specialist_condition,composition_level_evidence_only,review_required
sacubitril,8,3,Treatment of Heart failure,Azmarda 100mg Tablet | Azmarda 200mg Tablet | Azmarda 50mg Tablet | Vymada 100mg Tablet | Vymada 200mg Tablet,chronic_or_specialist_condition,composition_level_evidence_only,review_required
testosterone,8,4,Treatment of Male hypogonadism,Aquaviron Injection 1ml | Retesto Injection | Sustanon 100 Injection | T-Him Depot Injection | Testoki Tablet,injection_or_parenteral,composition_level_evidence_only,review_required
acitretin,7,2,Psoriasis,Aceret 25 Capsule | Acipsor 25mg Capsule | Acrotac 10mg Capsule | Acrotac 25mg Capsule | Actoid 10 Capsule,,composition_level_evidence_only,review_required
alendronic acid,7,3,Treatment of OsteoporosisTreatment of Paget's disease | Osteoporosis,Alensol-D Tablet | Fosabest Tablet | Fosavance  70 mg/5600 IU Tablet | Newbona Jelly | Osteofos 35 Tablet,,composition_level_evidence_only,review_required
ambrisentan,7,3,Pulmonary arterial hypertension (PAH) | Treatment of Pulmonary arterial hypertension (PAH),Ambrican 5 Tablet | Endobloc 10 Tablet | Endobloc 5 Tablet | Endobloc T Combipack | Pulmonext 10 Tablet,chronic_or_specialist_condition,composition_level_evidence_only,review_required
atropine,7,4,Treatment of Myopia | Treatment of MyopiaTreatment of Uveitis | Treatment of Uveitis,Atrodex-C Eye Drop | Atropine 1% Eye Drop | Atropine Sulphate 1% Eye Ointment | Myatro 0.01% Eye Drop | Mydrat-J Eye Drop,,composition_level_evidence_only,review_required
benzocaine,7,7,Treatment of Mouth ulcers | Acidity Heartburn Stomach ulcers | Local anesthesia (Numb tissues in a specific area) | Skin infections | Treatment of Ear infection | Treatment of Ear pain,Gee-X  Pain Relieving Gel | Healex Plus Spray | Mucopain Gel | Otek-AC Neo Ear Drop | Otocin-C Ear Drop,,composition_level_evidence_only,review_required
bromfenac,7,3,Post-operative eye pain and inflammation | Treatment of Bacterial eye infectionsTreatment of Post operative pain,Adbrom Free Eye Drop | Bromifax Eye Drop | Bromvue Eye Drops | Megabrom Eye Drop | Navibrom Eye Drop,,composition_level_evidence_only,review_required
citric acid,7,3,Treatment of Kidney stone | Bleeding | Male infertility,K-Cit Oral Solution | Maxoza Powder | Proliser Syrup Sugar Free | Revici Injection 5ml | Stonil Oral Solution,injection_or_parenteral,composition_level_evidence_only,review_required
deca peptide,7,6,Vitiligo,MHG 6mg Lotion | MHG Lotion | Melbild Solution | Melbild-XL Solution | Melboost 2mg Solution,,composition_level_evidence_only,review_required
efavirenz,7,4,HIV infection | Treatment of HIV infection,Avonza Tablet | Efavir 600 Tablet | Teevir Tablet | Trioday Tablet | Trustiva Tablet,,composition_level_evidence_only,review_required
emtricitabine,7,3,HIV infection,Spegra Tablet | Teevir Tablet | Tenof EM Tablet | Tenvir-EM Tablet | Trustiva Tablet,,composition_level_evidence_only,review_required
famciclovir,7,2,Herpes labialis Herpes Simplex Virus Infections Shingles Genital herpes infection,Famcimac 250 Tablet | Microvir 250 Tablet | Microvir 500 Tablet | Penvir 250 Tablet | Penvir 500 Tablet,,composition_level_evidence_only,review_required
flupenthixol,7,4,Schizophrenia Depression Bipolar disorder,Anxiset 0.5 Tablet | Anxiset 1 Tablet | Fluanxol 3mg Tablet | Spenzo 0.5 Tablet | Spenzo 3 Tablet,chronic_or_specialist_condition | injection_or_parenteral,composition_level_evidence_only,review_required
furosemide,7,6,Treatment of Edema | Treatment of Hypertension (high blood pressure)Treatment of Edema | Treatment of Hypertensive emergencyTreatment of Edema,Amifru 40 Tablet | Frusenex 100 Tablet | Lasilactone  50 Tablet | Lasix Injection | Lasix Tablet,chronic_or_specialist_condition | injection_or_parenteral,composition_level_evidence_only,review_required
glucosamine sulfate potassium chloride,7,5,Osteoarthritis | Arthralgia (joint pain),DR 4 Tablet | Dicovis-GM Tablet | Lubrijoint 500 Tablet | Lubrijoint 750 Tablet | Lubrijoint OD Tablet,,composition_level_evidence_only,review_required
human normal immunoglobulin,7,3,Immunoglobulins deficiency,Bharglob 16.5% Injection | Gamma I.V. 5gm Infusion | Genexglob Infusion | Globucel Solution for Infusion | Ivnex 5gm Infusion,injection_or_parenteral,composition_level_evidence_only,review_required
ilaprazole,7,3,Gastroesophageal reflux disease (Acid reflux) Peptic ulcer disease | Treatment of Gastroesophageal reflux disease (Acid reflux)Treatment of Peptic ulcer disease | Constipation,Iladac 10 Tablet | Iladac DSR Capsule PR | Iladac L Capsule PR | Ilapro 10 Tablet | Ilapro D Capsule PR,,composition_level_evidence_only,review_required
indomethacin,7,4,Pain relief,Donica-SR Capsule | Imacin-SR 75 Capsule | Indocap Capsule | Inmecin 50mg Capsule | Inmecin P 25mg/325mg Capsule,,composition_level_evidence_only,review_required
l-methyl folate,7,5,Nutritional deficiencies | Female infertility | Polycystic ovarian syndrome (PCOS),Aeocal Max Softgel Capsule | Elfolin Plus Tablet | Metafolate Tablet | Mibcal Soft Gelatin Capsule | Newbona Fem Tablet,,composition_level_evidence_only,review_required
labetalol,7,3,Hypertension (high blood pressure) Angina (heart-related chest pain) Prevention of heart attack and stroke | Treatment of Hypertensive emergency,Alphadopa L Tablet | Gravidol 200mg Tablet | Gravidol Tablet | Labebet 100mg Tablet | Labecor 100mg Tablet,chronic_or_specialist_condition | injection_or_parenteral,composition_level_evidence_only,review_required
lactic acid,7,5,Eczema Psoriasis | Melasma,Belina Gel | Lac Soft C Gel | Lobate S Ointment | Lozivate-MF Lotion | Lozivate-MF Ointment,,composition_level_evidence_only,review_required
lamivudine,7,7,HIV infection | Chronic hepatitis B virus (HBV) infection | Treatment of HIV infection,Albavir Tablet | Avonza Tablet | Duovir Tablet | Lamivir 150 Tablet | Lamivir HBV Tablet,,composition_level_evidence_only,review_required
lithium carbonate,7,3,Mania Bipolar disorder,Intalith 300 Tablet | Intalith CR 450 Tablet | Licab Tablet | Licab XL Tablet | Lithic 400mg Tablet SR,chronic_or_specialist_condition,composition_level_evidence_only,review_required
magnesium citrate,7,4,Treatment and prevention of Kidney stone | Kidney stone,Lizerton B6 Oral Solution Orange Sugar Free | Lupilyzer Oral Solution | Noculi B6 Oral Solution | Potrate-M Oral Solution | Urikem Syrup,,composition_level_evidence_only,review_required
megestrol,7,2,Breast cancer Endometrial cancer,Endace 160 Tablet | Endace 40 Tablet | Megahenz 160mg Tablet | Megahenz 40 Tablet | Megasty 160mg Tablet,chronic_or_specialist_condition,composition_level_evidence_only,review_required
methoxsalen,7,4,Vitiligo Psoriasis | Vitiligo,Macsoralen Lotion | Melanocyl Ointment | Melanocyl Solution | Melanocyl Tablet | Octamop Lotion,,composition_level_evidence_only,review_required
metoclopramide,7,5,Treatment of NauseaTreatment of VomitingTreatment of IndigestionTreatment of Heartburn | Migraine,Metopar Tablet | Paramet Tablet | Perinorm Injection | Perinorm Syrup | Perinorm Tablet,injection_or_parenteral,composition_level_evidence_only,review_required
moxonidine,7,2,Hypertension (high blood pressure),Moxcent 0.3 Tablet | Moxocard 0.2 Tablet | Moxocard 0.3 Tablet | Moxon 0.2mg Tablet | Moxon 0.3 Tablet,chronic_or_specialist_condition,composition_level_evidence_only,review_required
nandrolone decanoate,7,3,Treatment of Post menopausal osteoporosis,Aumento Injection | Deca-Durabolin 100 Injection | Durabolin 25 Injection | Metabol 25 Injection | Metadec 25 Injection,injection_or_parenteral,composition_level_evidence_only,review_required
norfloxacin,7,5,Treatment of DiarrheaTreatment of Dysentery | Treatment of Bacterial infections | Bacterial eye / ear infections | Bacterial infections,Norflokem 400mg Tablet | Norflokem TZ Tablet | Norflox 200 Tablet | Norflox 400 Tablet | Norflox Eye/Ear Drops,antibiotic_or_antimicrobial,composition_level_evidence_only,review_required
pseudoephedrine,7,7,Common cold | Treatment of Common cold | Cough | Sneezing and runny nose due to allergies,Ambrodil-Plus RF Syrup | Hatric 3 Suspension | Lupihist  Syrup | Nam Cold Z Syrup | Recofast Plus Tablet,,composition_level_evidence_only,review_required
"rabies vaccine, human",7,2,Prevention of Rabies,Abhayrab-PF Vaccine | Rabio Vaccine | Rabivax-S Vaccine | Sure Rab Vaccine | Vaxirab N 2.5IU Injection,injection_or_parenteral,composition_level_evidence_only,review_required
rizatriptan,7,2,Acute migraine headache,Rizact 10 Tablet | Rizact 5 Tablet | Rizanet 10 Oral Disintegrating Strip | Rizora 10 Tablet | Rizora 5 Tablet,,composition_level_evidence_only,review_required
ropinirole,7,5,Parkinson's disease Restless leg syndrome,Ropark 0.25 Tablet | Ropark 0.5 Tablet | Ropark 1 Tablet | Ropark 2 Tablet | Ropark XL 1 Tablet,,composition_level_evidence_only,review_required
selenium,7,7,Nutritional deficiencies | Infertility | Male infertility | Treatment of Nutritional deficiencies,Maxoza Powder | New Alene Tablet | Nuhenz Capsule | Otski Injection | Ovafuze Tablet,injection_or_parenteral,composition_level_evidence_only,review_required
sodium bicarbonate,7,2,Treatment of IndigestionTreatment of Alkalinizing agentTreatment of Metabolic acidosis | Treatment of Indigestion,Acidose 500mg Tablet | Auxisoda Tablet | Nodosis GST Tablet | Nodosis Oral Suspension | Nodosis Tablet,,composition_level_evidence_only,review_required
sulphacetamide,7,6,Treatment of Bacterial eye infections | Bacterial skin infections | Treatment of Bacterial eye / ear infections,Intasporin Powder | Locula 10% Eye Drop | Locula 20% Eye Drop | Locula 30% Eye Drop | Nebasulf Sprinkling Powder,,composition_level_evidence_only,review_required
sumatriptan,7,4,Treatment of Migraine | Acute migraine headache,Headset Tablet | Hedfree Tablet | Snapit 85mg/500mg Tablet | Suminat 100 Tablet | Suminat 25 Tablet,,composition_level_evidence_only,review_required
teriparatide,7,2,Osteoporosis,Bonista Cartridge | Bonmax PTH 750mcg Solution for Injection | Osteri 750mcg Solution for Injection | Rockbon PTH Pen | Terifrac Injection,injection_or_parenteral,composition_level_evidence_only,review_required
trimetazidine,7,3,Treatment of Angina (heart-related chest pain),Flavedon 20 Tablet | Metagard CR 60 Tablet | Trimacontin 35 Tablet | Trimacontin 60 Tablet CR | Trivedon 20 Tablet,,composition_level_evidence_only,review_required
ulipristal acetate,7,1,Uterine fibroids,Elata Tablet | Femipristal Tablet | Fibroprist Tablet | Goefibro-U Tablet | Neopristal Tablet,,composition_level_evidence_only,review_required
voriconazole,7,2,Severe fungal infections | Treatment of Fungal infections of eye Severe fungal infections,Voraze 200mg Tablet | Vorier 200mg Tablet | Vorifast 200 Tablet | Voritek 200 Tablet | Voritrol 200 Tablet,,composition_level_evidence_only,review_required
acenocoumarol,6,5,Treatment and prevention of Blood clots,Acitrom 0.5 Tablet | Acitrom 1 Tablet | Acitrom 2 Tablet | Acitrom 3 Tablet | Acitrom 4 Tablet,,composition_level_evidence_only,review_required
allopurinol,6,3,Treatment of Gout,Januric SR 250 Tablet | Zyle 100 Tablet | Zyloric 300 Tablet | Zyloric Tablet | Zyrik 100 Tablet,,composition_level_evidence_only,review_required
aminexil,6,2,Hair loss,Adhair 2% Solution | Am-Exidil 5 Topical Solution | Androanagen Solution | Hairjoy 2% Solution | Stonark-5 AX Solution,,composition_level_evidence_only,review_required
anastrozole,6,1,Breast cancer,Altraz Tablet | Anabrez Tablet | Arimidex 1mg Tablet | Armotraz Tablet | Femitraz Tablet,chronic_or_specialist_condition,composition_level_evidence_only,review_required
azathioprine,6,2,Prevention of organ rejection in transplant patientsTreatment of Rheumatoid arthritis,AZR Tablet | Aretha Tablet | Azapure Tablet | Azoran 25 Tablet | Innomune Tablet,,composition_level_evidence_only,review_required
biotin,6,5,Hair loss | Neuropathic pain | Treatment of Nutritional deficiencies | Treatment of Vitamin & mineral deficiency,Bkosa-F Tablet | Insulate-NP Tablet | Kerashine-F  Tablet | Ksan Tablet | Meganeuron OD Plus Capsule,,composition_level_evidence_only,review_required
brinzolamide,6,3,Treatment of Glaucoma | Glaucoma Ocular hypertension | Ocular hypertension Glaucoma,Azopt Opthalmic Suspension | Brinzox Ophthalmic Suspension | Brinzox-T Eye Drop | Maxbrim Eye Drop | Simbrinza Ophthalmic Suspension,chronic_or_specialist_condition,composition_level_evidence_only,review_required
carbimazole,6,3,Hyperthyroidism,Anti-Thyrox 10 Tablet | Anti-Thyrox 20 Tablet | Anti-Thyrox 5 Tablet | Neo-Mercazole 10 Tablet | Neo-Mercazole 20 Tablet,,composition_level_evidence_only,review_required
cilostazol,6,2,Treatment of Intermittent claudication,Pletoz 100 Tablet | Pletoz 50 Tablet | Stiloz 100 Tablet | Stozic 50 Tablet | Zilast 100 Tablet,,composition_level_evidence_only,review_required
d-chiro inositol,6,3,Polycystic ovarian syndrome (PCOS),Met-Innovfol Tablet | Met-Pco Care Tablet | Optimoz-Plus Tablet | Ovalife Met Tablet | Ovapro-M Tablet,,composition_level_evidence_only,review_required
darbepoetin alfa,6,3,Treatment of Anemia due to chronic kidney diseaseTreatment of Anemia due to cancer chemotherapy,Bionesp 40 Injection | Darba 40mcg Injection | Dargen 25 Injection | Dargen 60 Injection | Juvobin 40 Injection,chronic_or_specialist_condition | injection_or_parenteral,composition_level_evidence_only,review_required
diltiazem,6,3,Treatment of Hypertension (high blood pressure)Treatment of Angina (heart-related chest pain)Treatment of Arrhythmia | Treatment of Anal fissure,Angizem CD 90 Capsule ER | Angizem DP 90 Capsule MR | DTM 90 SR Tablet | Dilcontin 60 Tablet CR | Dilcontin XL 90 Tablet,chronic_or_specialist_condition,composition_level_evidence_only,review_required
diosmin,6,6,Treatment of Varicose veinsTreatment of PilesTreatment of Lymphedema | Varicose veins,Aldosmin 1000mg Tablet | Aldosmin 500mg Tablet | Ubicar Cream | Venusmin 150 Tablet | Venusmin 300 Tablet,,composition_level_evidence_only,review_required
dorzolamide,6,2,Treatment of GlaucomaTreatment of Ocular hypertension | Treatment of Glaucoma,Dorsenz-T Eye Drop | Dorsun T Eye Drop | Dortas-T Eye Drop | Endor Eye Drop | Misopt Eye Drop,chronic_or_specialist_condition,composition_level_evidence_only,review_required
drospirenone,6,2,Contraception,Asmita Tablet | Doris Tablet | YAZ Tablet | Yamini LS Kit | Yamini Tablet,,composition_level_evidence_only,review_required
entacapone,6,4,Parkinson's disease,Entacom Plus 100 Tablet | Entacom Plus 150 Tablet | Entacom Tablet | Syncapone 100 Tablet | Syncapone 150 Tablet,,composition_level_evidence_only,review_required
erythromycin,6,4,Treatment of Bacterial infections | Treatment of PertussisTreatment of DiphtheriaTreatment of Bacterial infections,Althrocin 250 Tablet | Althrocin 500 Tablet | Althrocin Kid 125mg Tablet | Althrocin Liquid | Eltocin Tablet,antibiotic_or_antimicrobial,composition_level_evidence_only,review_required
fenticonazole,6,2,Fungal infections of vagina,Fegus Vaginal Capsule | Fenti Vaginal Capsule | Fentiderm Cream | Fentimax Cream | Fenza Cream,,composition_level_evidence_only,review_required
fosfomycin,6,1,Bacterial infections of urinary tract,Fludafos 3gm Powder Vanilla | Fosfoe Powder Delicious Mango | Fosfona Powder | Fosidal Powder | Lupifos Powder,antibiotic_or_antimicrobial,composition_level_evidence_only,review_required
gentamicin,6,5,Bacterial skin infections | Treatment of Bacterial infections | Treatment of Ear infection | Treatment of Skin infections,Betnovate-GM Cream | Etan-G Cream | Gental Cream | Genticyn 80mg Injection | Otonorm Ear Drop,antibiotic_or_antimicrobial | injection_or_parenteral,composition_level_evidence_only,review_required
glutathione,6,5,Liver  disease | Nutritional deficiencies | Treatment of Melasma,Anthocyn-TX Tablet | Glutaup 500mg Tablet | Livolexin Suspension | Maxiliv Injection | Oxoneg Injection,injection_or_parenteral,composition_level_evidence_only,review_required
